Substance,Period,Date,Value1,Value2,Value3,Value4
UV,24h,20.03.2017,6,,,
Benzen,24h,,,,,
SO 2,24h,21.03.2017,125,125,8,13
ČAĐ,24h,21.03.2017,50,11,16,15
NO,2 24h,21.03.2017,85,125,33,26
NH3,24h,21.03.2017,100,19,22,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,21.03.2017,2,,,
UV,24h,21.03.2017,4,,,
Benzene,24h,,,3,,
SO 2,24h,22.03.2017,125,125,9,21
ČAĐ,24h,22.03.2017,50,11,12,15
NO,2 24h,22.03.2017,85,125,19,21
NH3,24h,22.03.2017,100,26,20,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,22.03.2017,1,,,
UV,24h,22.03.2017,2,,,
Benzen,24h,,,,,
SO 2,24h,23.03.2017,125,125,10,9
ČAĐ,24h,23.03.2017,50,14,14,18
NO,2 24h,23.03.2017,85,125,24,30
NH3,24h,23.03.2017,100,24,24,
TSP,24h,,120,,,
PM10,24h,20.03.2017,50,75,55,
BC,24h,23.03.2017,1,,,
UV,24h,23.03.2017,2,,,
Benzen,24h,,,,,
SO 2,24h,24.03.2017,125,125,8,8
ČAĐ,24h,24.03.2017,50,13,12,21
NO,2 24h,24.03.2017,85,125,26,15
NH3,24h,24.03.2017,100,13,20,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,24.03.2017,2,,,
UV,24h,24.03.2017,3,,,
Benzen,24h,,,,,
SO 2,24h,25.03.2017,125,125,8,8
ČAĐ,24h,25.03.2017,50,24,16,45
NO,2 24h,25.03.2017,85,125,32,24
NH3,24h,25.03.2017,100,15,18,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,25.03.2017,2,,,
UV,24h,25.03.2017,4,,,
Benzen,24h,,,,,
SO 2,24h,26.03.2017,125,125,8,8
ČAĐ,24h,26.03.2017,50,8,8,15
NO,2 24h,26.03.2017,85,125,7,10
NH3,24h,26.03.2017,100,15,19,
TSP,24h,,120,,,
PM10,24h,23.03.2017,50,75,48,
BC,24h,26.03.2017,2,,,
UV,24h,26.03.2017,3,,,
Benzen,24h,,,,,
SO 2,24h,27.03.2017,125,125,8,8
ČAĐ,24h,27.03.2017,50,22,14,47
NO,2 24h,27.03.2017,85,125,38,14
NH3,24h,27.03.2017,100,17,13,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,27.03.2017,3,,,
UV,24h,27.03.2017,5,,,
Benzen,24h,27.03.2017,,,,
SO 2,24h,28.03.2017,125,125,8,8
ČAĐ,24h,28.03.2017,50,51,26,74
NO,2 24h,28.03.2017,85,125,49,38
NH3,24h,28.03.2017,100,6,12,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,28.03.2017,5,,,
UV,24h,28.03.2017,7,,,
Benzen,24h,,,,,
SO 2,24h,29.03.2017,125,125,8,8
ČAĐ,24h,29.03.2017,50,26,13,34
NO,2 24h,29.03.2017,85,125,52,27
NH3,24h,29.03.2017,100,19,13,
TSP,24h,,120,,,
PM10,24h,26.03.2017,50,75,36,
BC,24h,29.03.2017,4,,,
UV,24h,29.03.2017,6,,,
Benzen,24h,,,,,
SO 2,24h,30.03.2017,125,125,8,8
ČAĐ,24h,30.03.2017,50,14,10,19
NO,2 24h,30.03.2017,85,125,28,19
NH3,24h,30.03.2017,100,7,10,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,30.03.2017,1,,,
UV,24h,30.03.2017,2,,,
Benzen,24h,,,,,
SO 2,24h,31.03.2017,125,125,8,8
ČAĐ,24h,31.03.2017,50,8,10,13
NO,2 24h,31.03.2017,85,125,29,24
NH3,24h,31.03.2017,100,11,11,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,31.03.2017,1,,,
UV,24h,31.03.2017,1,,,
Benzen,24h,,,,,
SO 2,24h,01.10.2021,125,125,8,8
ČAĐ,24h,01.10.2021,50,4,6,4
NO,2 24h,01.10.2021,85,125,9,10
NH3,24h,01.10.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,01.10.2021,50,75,25,
BC,24h,01.10.2021,,,,
UV,24h,01.10.2021,,,,
Benzen,24h,,,,,
SO 2,24h,02.10.2021,125,125,8,8
ČAĐ,24h,02.10.2021,50,4,7,4
NO,2 24h,02.10.2021,85,125,2,5
NH3,24h,02.10.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,02.10.2021,,,,
UV,24h,02.10.2021,,,,
Benzene,24h,,,2,,
SO 2,24h,03.10.2021,125,125,8,8
ČAĐ,24h,03.10.2021,50,6,5,4
NO,2 24h,03.10.2021,85,125,10,14
NH3,24h,03.10.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,03.10.2021,,,,
UV,24h,03.10.2021,,,,
Benzen,24h,,,,,
SO 2,24h,04.10.2021,125,125,8,8
ČAĐ,24h,04.10.2021,50,6,7,5
NO,2 24h,04.10.2021,85,125,5,14
NH3,24h,04.10.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,04.10.2021,50,75,32,
BC,24h,04.10.2021,,,,
UV,24h,04.10.2021,,,,
Benzen,24h,,,,,
SO 2,24h,05.10.2021,125,125,8,8
ČAĐ,24h,05.10.2021,50,9,11,8
NO,2 24h,05.10.2021,85,125,7,9
NH3,24h,05.10.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,05.10.2021,,,,
UV,24h,05.10.2021,,,,
Benzen,24h,,,,,
SO 2,24h,06.10.2021,125,125,8,8
ČAĐ,24h,06.10.2021,50,4,4,4
NO,2 24h,06.10.2021,85,125,2,10
NH3,24h,06.10.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,06.10.2021,,,,
UV,24h,06.10.2021,,,,
Benzen,24h,,,,,
SO 2,24h,07.10.2021,125,125,8,8
ČAĐ,24h,07.10.2021,50,4,5,4
NO,2 24h,07.10.2021,85,125,7,8
NH3,24h,07.10.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,07.10.2021,50,75,31,
BC,24h,07.10.2021,,,,
UV,24h,07.10.2021,,,,
Benzen,24h,,,,,
SO 2,24h,08.10.2021,125,125,8,8
ČAĐ,24h,08.10.2021,50,4,6,4
NO,2 24h,08.10.2021,85,125,5,6
NH3,24h,08.10.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,08.10.2021,,,,
UV,24h,08.10.2021,,,,
Benzen,24h,08.10.2021,,,,
SO 2,24h,09.10.2021,125,125,8,8
ČAĐ,24h,09.10.2021,50,6,6,6
NO,2 24h,09.10.2021,85,125,4,6
NH3,24h,09.10.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,09.10.2021,,,,
UV,24h,09.10.2021,,,,
Benzen,24h,,,,,
SO 2,24h,10.10.2021,125,125,8,8
ČAĐ,24h,10.10.2021,50,7,8,6
NO,2 24h,10.10.2021,85,125,5,6
NH3,24h,10.10.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,10.10.2021,50,75,32,
BC,24h,10.10.2021,,,,
UV,24h,10.10.2021,,,,
Benzen,24h,,,,,
SO 2,24h,11.10.2021,125,125,8,8
ČAĐ,24h,11.10.2021,50,10,8,7
NO,2 24h,11.10.2021,85,125,16,13
NH3,24h,11.10.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,11.10.2021,,,,
UV,24h,11.10.2021,,,,
Benzen,24h,,,,,
SO 2,24h,12.10.2021,125,125,8,8
ČAĐ,24h,12.10.2021,50,16,9,9
NO,2 24h,12.10.2021,85,125,18,13
NH3,24h,12.10.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,12.10.2021,,,,
UV,24h,12.10.2021,,,,
Benzen,24h,,,,,
SO 2,24h,13.10.2021,125,125,8,8
ČAĐ,24h,13.10.2021,50,5,4,5
NO,2 24h,13.10.2021,85,125,19,14
NH3,24h,13.10.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,13.10.2021,50,75,18,
BC,24h,13.10.2021,,,,
UV,24h,13.10.2021,,,,
Benzen,24h,,,,,
SO 2,24h,14.10.2021,125,125,8,8
ČAĐ,24h,14.10.2021,50,7,7,5
NO,2 24h,14.10.2021,85,125,14,12
NH3,24h,14.10.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,14.10.2021,,,,
UV,24h,14.10.2021,,,,
Benzen,24h,14.10.2021,,,,
SO 2,24h,15.10.2021,125,125,8,8
ČAĐ,24h,15.10.2021,50,8,5,6
NO,2 24h,15.10.2021,85,125,29,15
NH3,24h,15.10.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,15.10.2021,,,,
UV,24h,15.10.2021,,,,
Benzen,24h,,,,,
SO 2,24h,16.10.2021,125,125,8,8
ČAĐ,24h,16.10.2021,50,4,4,4
NO,2 24h,16.10.2021,85,125,15,14
NH3,24h,16.10.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,16.10.2021,50,75,35,
BC,24h,16.10.2021,,,,
UV,24h,16.10.2021,,,,
Benzen,24h,,,,,
SO 2,24h,17.10.2021,125,125,8,8
ČAĐ,24h,17.10.2021,50,46,46,49
NO,2 24h,17.10.2021,85,125,33,23
NH3,24h,17.10.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,17.10.2021,,,,
UV,24h,17.10.2021,,,,
Benzen,24h,,,,,
SO 2,24h,18.10.2021,125,125,8,8
ČAĐ,24h,18.10.2021,50,55,27,37
NO,2 24h,18.10.2021,85,125,28,16
NH3,24h,18.10.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,18.10.2021,,,,
UV,24h,18.10.2021,,,,
Benzen,24h,,,,,
SO 2,24h,19.10.2021,125,125,8,8
ČAĐ,24h,19.10.2021,50,36,22,34
NO,2 24h,19.10.2021,85,125,33,28
NH3,24h,19.10.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,19.10.2021,50,75,79,
BC,24h,19.10.2021,,,,
UV,24h,19.10.2021,,,,
Benzen,24h,,,,,
SO 2,24h,20.10.2021,125,125,8,8
ČAĐ,24h,20.10.2021,50,12,14,11
NO,2 24h,20.10.2021,85,125,6,12
NH3,24h,20.10.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,20.10.2021,,,,
UV,24h,20.10.2021,,,,
Benzen,24h,20.10.2021,,,,
SO 2,24h,21.10.2021,125,125,8,8
ČAĐ,24h,21.10.2021,50,31,32,25
NO,2 24h,21.10.2021,85,125,46,46
NH3,24h,21.10.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,21.10.2021,,,,
UV,24h,21.10.2021,,,,
Benzen,24h,,,,,
SO 2,24h,22.10.2021,125,125,8,8
ČAĐ,24h,22.10.2021,50,12,11,13
NO,2 24h,22.10.2021,85,125,7,11
NH3,24h,22.10.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,22.10.2021,50,75,34,
BC,24h,22.10.2021,,,,
UV,24h,22.10.2021,,,,
Benzen,24h,,,,,
SO 2,24h,23.10.2021,125,125,8,8
ČAĐ,24h,23.10.2021,50,8,7,8
NO,2 24h,23.10.2021,85,125,5,9
NH3,24h,23.10.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,23.10.2021,,,,
UV,24h,23.10.2021,,,,
Benzen,24h,,,,,
SO 2,24h,24.10.2021,125,125,8,8
ČAĐ,24h,24.10.2021,50,12,16,22
NO,2 24h,24.10.2021,85,125,14,12
NH3,24h,24.10.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,24.10.2021,,,,
UV,24h,24.10.2021,,,,
Benzen,24h,,,,,
SO 2,24h,25.10.2021,125,125,8,8
ČAĐ,24h,25.10.2021,50,5,8,9
NO,2 24h,25.10.2021,85,125,10,14
NH3,24h,25.10.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,25.10.2021,50,75,27,
BC,24h,25.10.2021,,,,
UV,24h,25.10.2021,,,,
Benzen,24h,,,,,
SO 2,24h,26.10.2021,125,125,8,8
ČAĐ,24h,26.10.2021,50,11,20,15
NO,2 24h,26.10.2021,85,125,16,18
NH3,24h,26.10.2021,100,10,17,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,26.10.2021,,,,
UV,24h,26.10.2021,,,,
Benzen,24h,26.10.2021,,,,
SO 2,24h,27.10.2021,125,125,8,8
ČAĐ,24h,27.10.2021,50,29,18,33
NO,2 24h,27.10.2021,85,125,43,22
NH3,24h,27.10.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,27.10.2021,,,,
UV,24h,27.10.2021,,,,
Benzen,24h,,,,,
SO 2,24h,28.10.2021,125,125,8,8
ČAĐ,24h,28.10.2021,50,16,23,19
NO,2 24h,28.10.2021,85,125,19,18
NH3,24h,28.10.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,28.10.2021,50,75,67,
BC,24h,28.10.2021,,,,
UV,24h,28.10.2021,,,,
Benzen,24h,,,,,
SO 2,24h,29.10.2021,125,125,8,8
ČAĐ,24h,29.10.2021,50,8,9,8
NO,2 24h,29.10.2021,85,125,13,16
NH3,24h,29.10.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,29.10.2021,,,,
UV,24h,29.10.2021,,,,
Benzen,24h,,,,,
SO 2,24h,30.10.2021,125,125,8,8
ČAĐ,24h,30.10.2021,50,5,7,4
NO,2 24h,30.10.2021,85,125,10,17
NH3,24h,30.10.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,30.10.2021,,,,
UV,24h,30.10.2021,,,,
Benzen,24h,,,,,
SO 2,24h,31.10.2021,125,125,8,15
ČAĐ,24h,31.10.2021,50,8,5,5
NO,2 24h,31.10.2021,85,125,9,14
NH3,24h,31.10.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,31.10.2021,50,75,28,
BC,24h,31.10.2021,,,,
UV,24h,31.10.2021,,,,
Benzen,24h,,,,,
SO 2,24h,01.09.2021,125,125,8,8
ČAĐ,24h,01.09.2021,50,4,4,4
NO,2 24h,01.09.2021,85,125,5,8
NH3,24h,01.09.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,01.09.2021,50,75,22,
BC,24h,01.09.2021,,,,
UV,24h,01.09.2021,,,,
Benzen,24h,,,,,
SO 2,24h,02.09.2021,125,125,8,8
ČAĐ,24h,02.09.2021,50,7,4,9
NO,2 24h,02.09.2021,85,125,13,6
NH3,24h,02.09.2021,100,11,10,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,02.09.2021,1,,,
UV,24h,02.09.2021,1,,,
Benzene,24h,,,2,,
SO 2,24h,03.09.2021,125,125,8,8
ČAĐ,24h,03.09.2021,50,8,9,9
NO,2 24h,03.09.2021,85,125,2,6
NH3,24h,03.09.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,03.09.2021,1,,,
UV,24h,03.09.2021,1,,,
Benzen,24h,,,,,
SO 2,24h,04.09.2021,125,125,8,8
ČAĐ,24h,04.09.2021,50,7,5,7
NO,2 24h,04.09.2021,85,125,4,9
NH3,24h,04.09.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,04.09.2021,50,75,29,
BC,24h,04.09.2021,1,,,
UV,24h,04.09.2021,1,,,
Benzen,24h,,,,,
SO 2,24h,05.09.2021,125,125,8,8
ČAĐ,24h,05.09.2021,50,4,4,4
NO,2 24h,05.09.2021,85,125,6,6
NH3,24h,05.09.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,05.09.2021,1,,,
UV,24h,05.09.2021,1,,,
Benzen,24h,,,,,
SO 2,24h,06.09.2021,125,125,8,8
ČAĐ,24h,06.09.2021,50,4,5,4
NO,2 24h,06.09.2021,85,125,2,3
NH3,24h,06.09.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,06.09.2021,,,,
UV,24h,06.09.2021,,,,
Benzen,24h,,,,,
SO 2,24h,07.09.2021,125,125,8,8
ČAĐ,24h,07.09.2021,50,4,4,4
NO,2 24h,07.09.2021,85,125,2,4
NH3,24h,07.09.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,07.09.2021,50,75,37,
BC,24h,07.09.2021,,,,
UV,24h,07.09.2021,,,,
Benzen,24h,,,,,
SO 2,24h,08.09.2021,125,125,8,8
ČAĐ,24h,08.09.2021,50,4,4,4
NO,2 24h,08.09.2021,85,125,2,2
NH3,24h,08.09.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,08.09.2021,,,,
UV,24h,08.09.2021,,,,
Benzene,24h,,,4,,
SO 2,24h,09.09.2021,125,125,8,8
ČAĐ,24h,09.09.2021,50,5,6,4
NO,2 24h,09.09.2021,85,125,2,3
NH3,24h,09.09.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,09.09.2021,1,,,
UV,24h,09.09.2021,1,,,
Benzen,24h,,,,,
SO 2,24h,10.09.2021,125,125,8,8
ČAĐ,24h,10.09.2021,50,6,9,7
NO,2 24h,10.09.2021,85,125,4,5
NH3,24h,10.09.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,10.09.2021,50,75,41,
BC,24h,10.09.2021,1,,,
UV,24h,10.09.2021,1,,,
Benzen,24h,,,,,
SO 2,24h,11.09.2021,125,125,8,8
ČAĐ,24h,11.09.2021,50,11,14,18
NO,2 24h,11.09.2021,85,125,4,4
NH3,24h,11.09.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,11.09.2021,1,,,
UV,24h,11.09.2021,1,,,
Benzen,24h,,,,,
SO 2,24h,12.09.2021,125,125,8,8
ČAĐ,24h,12.09.2021,50,12,11,12
NO,2 24h,12.09.2021,85,125,19,4
NH3,24h,12.09.2021,100,18,10,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,12.09.2021,1,,,
UV,24h,12.09.2021,1,,,
Benzen,24h,,,,,
SO 2,24h,13.09.2021,125,125,8,8
ČAĐ,24h,13.09.2021,50,16,11,14
NO,2 24h,13.09.2021,85,125,15,9
NH3,24h,13.09.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,13.09.2021,50,75,50,
BC,24h,13.09.2021,1,,,
UV,24h,13.09.2021,1,,,
Benzen,24h,,,,,
SO 2,24h,14.09.2021,125,125,8,8
ČAĐ,24h,14.09.2021,50,9,5,11
NO,2 24h,14.09.2021,85,125,13,11
NH3,24h,14.09.2021,100,18,10,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,14.09.2021,1,,,
UV,24h,14.09.2021,1,,,
Benzene,24h,,,3,,
SO 2,24h,15.09.2021,125,125,8,8
ČAĐ,24h,15.09.2021,50,10,12,10
NO,2 24h,15.09.2021,85,125,3,4
NH3,24h,15.09.2021,100,41,28,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,15.09.2021,1,,,
UV,24h,15.09.2021,1,,,
Benzen,24h,,,,,
SO 2,24h,16.09.2021,125,125,8,8
ČAĐ,24h,16.09.2021,50,15,11,12
NO,2 24h,16.09.2021,85,125,7,5
NH3,24h,16.09.2021,100,18,10,
TSP,24h,,120,,,
PM10,24h,16.09.2021,50,75,65,
BC,24h,16.09.2021,1,,,
UV,24h,16.09.2021,1,,,
Benzen,24h,,,,,
SO 2,24h,17.09.2021,125,125,8,8
ČAĐ,24h,17.09.2021,50,5,4,4
NO,2 24h,17.09.2021,85,125,4,4
NH3,24h,17.09.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,17.09.2021,1,,,
UV,24h,17.09.2021,1,,,
Benzen,24h,,,,,
SO 2,24h,18.09.2021,125,125,8,8
ČAĐ,24h,18.09.2021,50,8,5,5
NO,2 24h,18.09.2021,85,125,6,9
NH3,24h,18.09.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,18.09.2021,1,,,
UV,24h,18.09.2021,1,,,
Benzen,24h,,,,,
SO 2,24h,19.09.2021,125,125,8,8
ČAĐ,24h,19.09.2021,50,6,5,4
NO,2 24h,19.09.2021,85,125,3,3
NH3,24h,19.09.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,19.09.2021,50,75,21,
BC,24h,19.09.2021,1,,,
UV,24h,19.09.2021,1,,,
Benzen,24h,,,,,
SO 2,24h,20.09.2021,125,125,8,8
ČAĐ,24h,20.09.2021,50,5,4,4
NO,2 24h,20.09.2021,85,125,5,3
NH3,24h,20.09.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,20.09.2021,1,,,
UV,24h,20.09.2021,1,,,
Benzene,24h,,,2,,
SO 2,24h,21.09.2021,125,125,8,8
ČAĐ,24h,21.09.2021,50,9,6,5
NO,2 24h,21.09.2021,85,125,3,3
NH3,24h,21.09.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,21.09.2021,1,,,
UV,24h,21.09.2021,1,,,
Benzen,24h,,,,,
SO 2,24h,22.09.2021,125,125,8,8
ČAĐ,24h,22.09.2021,50,6,7,5
NO,2 24h,22.09.2021,85,125,6,5
NH3,24h,22.09.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,22.09.2021,50,75,19,
BC,24h,22.09.2021,1,,,
UV,24h,22.09.2021,1,,,
Benzen,24h,,,,,
SO 2,24h,23.09.2021,125,125,8,8
ČAĐ,24h,23.09.2021,50,13,14,11
NO,2 24h,23.09.2021,85,125,25,19
NH3,24h,23.09.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,23.09.2021,,,,
UV,24h,23.09.2021,,,,
Benzen,24h,,,,,
SO 2,24h,24.09.2021,125,125,8,8
ČAĐ,24h,24.09.2021,50,11,7,16
NO,2 24h,24.09.2021,85,125,19,16
NH3,24h,24.09.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,24.09.2021,,,,
UV,24h,24.09.2021,,,,
Benzen,24h,,,,,
SO 2,24h,25.09.2021,125,125,8,8
ČAĐ,24h,25.09.2021,50,25,12,10
NO,2 24h,25.09.2021,85,125,26,27
NH3,24h,25.09.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,25.09.2021,50,75,40,
BC,24h,25.09.2021,,,,
UV,24h,25.09.2021,,,,
Benzen,24h,,,,,
SO 2,24h,26.09.2021,125,125,8,8
ČAĐ,24h,26.09.2021,50,29,17,33
NO,2 24h,26.09.2021,85,125,21,15
NH3,24h,26.09.2021,100,12,10,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,26.09.2021,,,,
UV,24h,26.09.2021,,,,
Benzen,24h,26.09.2021,,,,
SO 2,24h,27.09.2021,125,125,8,8
ČAĐ,24h,27.09.2021,50,14,7,10
NO,2 24h,27.09.2021,85,125,30,19
NH3,24h,27.09.2021,100,22,10,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,27.09.2021,,,,
UV,24h,27.09.2021,,,,
Benzen,24h,,,,,
SO 2,24h,28.09.2021,125,125,8,8
ČAĐ,24h,28.09.2021,50,6,5,4
NO,2 24h,28.09.2021,85,125,7,7
NH3,24h,28.09.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,28.09.2021,50,75,15,
BC,24h,28.09.2021,,,,
UV,24h,28.09.2021,,,,
Benzen,24h,,,,,
SO 2,24h,29.09.2021,125,125,8,8
ČAĐ,24h,29.09.2021,50,4,4,4
NO,2 24h,29.09.2021,85,125,9,11
NH3,24h,29.09.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,29.09.2021,,,,
UV,24h,29.09.2021,,,,
Benzen,24h,,,,,
SO 2,24h,30.09.2021,125,125,8,8
ČAĐ,24h,30.09.2021,50,9,7,8
NO,2 24h,30.09.2021,85,125,9,4
NH3,24h,30.09.2021,100,10,10,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,30.09.2021,,,,
UV,24h,30.09.2021,,,,
Benzen,24h,,,,,
SO 2,24h,01.03.2022,125,125,8,8
ČAĐ,24h,01.03.2022,50,11,9,
NO,2 24h,01.03.2022,85,125,7,13
NH3,24h,01.03.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,01.03.2022,50,75,33,31
Benzen,24h,01.03.2022,,,,
SO 2,24h,02.03.2022,125,125,8,8
ČAĐ,24h,02.03.2022,50,14,11,
NO,2 24h,02.03.2022,85,125,18,14
NH3,24h,02.03.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,02.03.2022,50,75,34,33
Benzen,24h,,,,,
SO 2,24h,03.03.2022,125,125,8,8
ČAĐ,24h,03.03.2022,50,82,45,
NO,2 24h,03.03.2022,85,125,28,38
NH3,24h,03.03.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,03.03.2022,50,75,134,155
Benzen,24h,,,,,
SO 2,24h,04.03.2022,125,125,8,8
ČAĐ,24h,04.03.2022,50,16,18,
NO,2 24h,04.03.2022,85,125,22,17
NH3,24h,04.03.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,04.03.2022,50,75,51,52
Benzen,24h,,,,,
SO 2,24h,05.03.2022,125,125,8,8
ČAĐ,24h,05.03.2022,50,11,13,
NO,2 24h,05.03.2022,85,125,4,4
NH3,24h,05.03.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,05.03.2022,50,75,37,41
Benzen,24h,,,,,
SO 2,24h,06.03.2022,125,125,8,8
ČAĐ,24h,06.03.2022,50,11,9,
NO,2 24h,06.03.2022,85,125,13,13
NH3,24h,06.03.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,06.03.2022,50,75,27,29
Benzen,24h,,,,,
SO 2,24h,07.03.2022,125,125,8,8
ČAĐ,24h,07.03.2022,50,12,13,
NO,2 24h,07.03.2022,85,125,9,12
NH3,24h,07.03.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,07.03.2022,50,75,32,32
Benzen,24h,07.03.2022,,,,
SO 2,24h,08.03.2022,125,125,8,8
ČAĐ,24h,08.03.2022,50,13,10,
NO,2 24h,08.03.2022,85,125,18,16
NH3,24h,08.03.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,08.03.2022,50,75,42,32
Benzen,24h,,,,,
SO 2,24h,09.03.2022,125,125,8,8
ČAĐ,24h,09.03.2022,50,10,8,
NO,2 24h,09.03.2022,85,125,9,12
NH3,24h,09.03.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,09.03.2022,50,75,29,29
Benzen,24h,,,,,
SO 2,24h,10.03.2022,125,125,8,8
ČAĐ,24h,10.03.2022,50,5,11,
NO,2 24h,10.03.2022,85,125,13,11
NH3,24h,10.03.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,10.03.2022,50,75,30,31
Benzen,24h,,,,,
SO 2,24h,11.03.2022,125,125,8,8
ČAĐ,24h,11.03.2022,50,14,11,
NO,2 24h,11.03.2022,85,125,9,18
NH3,24h,11.03.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,11.03.2022,50,75,40,33
Benzen,24h,,,,,
SO 2,24h,12.03.2022,125,125,8,8
ČAĐ,24h,12.03.2022,50,77,45,
NO,2 24h,12.03.2022,85,125,43,33
NH3,24h,12.03.2022,100,10,10,
TSP,24h,,120,,,
PM10,24h,12.03.2022,50,75,128,166
Benzen,24h,,,,,
SO 2,24h,13.03.2022,125,125,8,13
