Substance,Period,Date,Value1,Value2,Value3,Value4
BC,24h,09.03.2020,8,,,
UV,24h,09.03.2020,12,,,
Benzen,24h,,,,,
SO 2,24h,10.03.2020,125,125,8,8
ČAĐ,24h,10.03.2020,50,31,32,32
NO,2 24h,10.03.2020,85,125,29,21
NH3,24h,10.03.2020,100,6,6,
TSP,24h,,120,,,
PM10,24h,07.03.2020,50,75,27,
BC,24h,10.03.2020,6,,,
UV,24h,10.03.2020,11,,,
Benzen,24h,,,,,
SO 2,24h,11.03.2020,125,125,8,11
ČAĐ,24h,11.03.2020,50,36,35,46
NO,2 24h,11.03.2020,85,125,31,35
NH3,24h,11.03.2020,100,6,12,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,11.03.2020,9,,,
UV,24h,11.03.2020,15,,,
Benzen,24h,11.03.2020,,,,
SO 2,24h,12.03.2020,125,125,8,8
ČAĐ,24h,12.03.2020,50,19,23,21
NO,2 24h,12.03.2020,85,125,28,22
NH3,24h,12.03.2020,100,7,9,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,12.03.2020,11,,,
UV,24h,12.03.2020,16,,,
Benzen,24h,,,,,
SO 2,24h,13.03.2020,125,125,8,8
ČAĐ,24h,13.03.2020,50,9,5,9
NO,2 24h,13.03.2020,85,125,25,20
NH3,24h,13.03.2020,100,6,6,
TSP,24h,,120,,,
PM10,24h,10.03.2020,50,75,48,
BC,24h,13.03.2020,2,,,
UV,24h,13.03.2020,5,,,
Benzen,24h,,,,,
SO 2,24h,14.03.2020,125,125,8,8
ČAĐ,24h,14.03.2020,50,14,11,14
NO,2 24h,14.03.2020,85,125,20,15
NH3,24h,14.03.2020,100,7,6,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,14.03.2020,4,,,
UV,24h,14.03.2020,7,,,
Benzen,24h,,,,,
SO 2,24h,15.03.2020,125,125,8,8
ČAĐ,24h,15.03.2020,50,5,9,9
NO,2 24h,15.03.2020,85,125,2,8
NH3,24h,15.03.2020,100,5,5,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,15.03.2020,2,,,
UV,24h,15.03.2020,4,,,
Benzen,24h,,,,,
SO 2,24h,16.03.2020,125,125,8,8
ČAĐ,24h,16.03.2020,50,4,9,6
NO,2 24h,16.03.2020,85,125,8,12
NH3,24h,16.03.2020,100,5,5,
TSP,24h,,120,,,
PM10,24h,13.03.2020,50,75,31,
BC,24h,16.03.2020,2,,,
UV,24h,16.03.2020,4,,,
Benzen,24h,,,,,
SO 2,24h,17.03.2020,125,125,8,8
ČAĐ,24h,17.03.2020,50,18,23,25
NO,2 24h,17.03.2020,85,125,16,17
NH3,24h,17.03.2020,100,5,5,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,17.03.2020,5,,,
UV,24h,17.03.2020,9,,,
Benzen,24h,17.03.2020,,,,
SO 2,24h,18.03.2020,125,125,8,8
ČAĐ,24h,18.03.2020,50,44,40,56
NO,2 24h,18.03.2020,85,125,32,23
NH3,24h,18.03.2020,100,5,5,
TSP,24h,,120,,,
PM10,24h,,50,75,,
BC,24h,18.03.2020,12,,,
UV,24h,18.03.2020,18,,,
Benzen,24h,,,,,
SO 2,24h,19.03.2020,125,125,8,8
ČAĐ,24h,19.03.2020,50,52,44,68
NO,2 24h,19.03.2020,85,125,32,40
NH3,24h,19.03.2020,100,10,9,
TSP,24h,,120,,,
PM10,24h,16.03.2020,50,75,36,
BC,24h,19.03.2020,12,,,
UV,24h,19.03.2020,18,,,
Benzen,24h,,,,,
SO 2,24h,20.03.2020,125,125,8,8
ČAĐ,24h,20.03.2020,50,45,71,46
NO,2 24h,20.03.2020,85,125,45,31
